Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A009HBT0	unreviewed	Corrinoid adenosyltransferase	1310608	Acinetobacter sp. 1295259	192	IPR029499	4..187
A0A009IUZ8	unreviewed	Corrinoid adenosyltransferase	1310613	Acinetobacter baumannii (strain 1295743)	192	IPR029499	4..187
A0A009MMM7	unreviewed	Corrinoid adenosyltransferase	1310652	Acinetobacter sp. 1475718	192	IPR029499	4..187
A0A009PH25	unreviewed	Corrinoid adenosyltransferase	1310607	Acinetobacter baumannii 625974	192	IPR029499	4..187
A0A009RD73	unreviewed	Corrinoid adenosyltransferase	1310637	Acinetobacter sp. 809848	192	IPR029499	4..187
A0A009SIZ7	unreviewed	Corrinoid adenosyltransferase	1310630	Acinetobacter baumannii 99063	192	IPR029499	4..187
A0A009YIY6	unreviewed	Corrinoid adenosyltransferase	1310601	Acinetobacter sp. 479375	192	IPR029499	4..187
A0A010J9U6	unreviewed	Corrinoid adenosyltransferase	1310681	Acinetobacter sp. 1542444	192	IPR029499	4..187
A0A010RZR6	unreviewed	Corrinoid adenosyltransferase	1042209	Pseudomonas fluorescens HK44	193	IPR029499	4..187
A0A011N2S6	unreviewed	Cobalamin adenosyltransferase	1454000	Candidatus Accumulibacter sp. SK-11	186	IPR029499	4..177
A0A011N2Z1	unreviewed	Cobalamin adenosyltransferase	1454001	Candidatus Accumulibacter adjunctus	186	IPR029499	4..177
A0A011NLT2	unreviewed	Cobalamin adenosyltransferase	1454005	Candidatus Accumulibacter sp. BA-94	186	IPR029499	4..177
A0A011QFH3	unreviewed	Cobalamin adenosyltransferase	1454003	Candidatus Accumulibacter appositus	186	IPR029499	4..178
A0A011QIE5	unreviewed	Cobalamin adenosyltransferase	522306	Accumulibacter regalis	186	IPR029499	4..178
A0A011QUR0	unreviewed	Cobalamin adenosyltransferase	1454005	Candidatus Accumulibacter sp. BA-94	158	IPR029499	4..137
A0A011SXB8	unreviewed	Corrinoid adenosyltransferase	529	Brucella anthropi	196	IPR029499	3..190
A0A011VDR9	unreviewed	Corrinoid adenosyltransferase	69279	Aquamicrobium defluvii	193	IPR029499	3..187
A0A013SNJ3	unreviewed	Corrinoid adenosyltransferase	1310764	Acinetobacter sp. 826659	192	IPR029499	4..187
A0A013UBC2	unreviewed	Corrinoid adenosyltransferase	1310791	Acinetobacter sp. 742879	192	IPR029499	4..187
A0A013XQ57	unreviewed	Corrinoid adenosyltransferase	1461752	Sphingobium sp. Ant17	189	IPR029499	3..183
A0A014LET6	unreviewed	Corrinoid adenosyltransferase	1158056	Streptomyces sp. PRh5	190	IPR029499	4..182
A0A014MTV0	unreviewed	Cobalamin adenosyltransferase	1457173	Comamonas aquatica DA1877	190	IPR029499	4..179
A0A015SR16	unreviewed	Corrinoid adenosyltransferase	1339315	Bacteroides fragilis str. 3988T(B)14	187	IPR029499	2..184
A0A015TTX2	unreviewed	Corrinoid adenosyltransferase	1339315	Bacteroides fragilis str. 3988T(B)14	190	IPR029499	2..181
A0A015U0Z7	unreviewed	Corrinoid adenosyltransferase	1339316	Bacteroides fragilis str. 3998T(B)3	190	IPR029499	2..181
A0A015U1F0	unreviewed	Corrinoid adenosyltransferase	1339316	Bacteroides fragilis str. 3998T(B)3	187	IPR029499	2..184
A0A015X4I9	unreviewed	Corrinoid adenosyltransferase	1339327	Bacteroides fragilis str. S36L11	187	IPR029499	2..184
A0A015YD24	unreviewed	Corrinoid adenosyltransferase	1339280	Bacteroides fragilis str. 2-F-2 #4	190	IPR029499	2..181
A0A016AIS8	unreviewed	Corrinoid adenosyltransferase	1339327	Bacteroides fragilis str. S36L11	190	IPR029499	2..181
A0A016BQ99	unreviewed	Corrinoid adenosyltransferase	1339280	Bacteroides fragilis str. 2-F-2 #4	187	IPR029499	2..184
A0A016BRA3	unreviewed	Corrinoid adenosyltransferase	1339314	Bacteroides fragilis str. 3976T8	187	IPR029499	2..184
A0A016CNQ9	unreviewed	Corrinoid adenosyltransferase	1339314	Bacteroides fragilis str. 3976T8	190	IPR029499	2..181
A0A016QKU3	unreviewed	Corrinoid adenosyltransferase	1476583	Deinococcus phoenicis	195	IPR029499	2..192
A0A016V3D8	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	53326	Ancylostoma ceylanicum	208	IPR029499	6..194
A0A016V3Y9	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	53326	Ancylostoma ceylanicum	203	IPR029499	6..189
A0A017HF78	unreviewed	Corrinoid adenosyltransferase	1122180	Limimaricola hongkongensis DSM 17492	190	IPR029499	5..185
A0A017HMX8	unreviewed	Corrinoid adenosyltransferase	442562	Rubellimicrobium mesophilum DSM 19309	129	IPR029499	2..123
A0A017SZR5	unreviewed	Corrinoid adenosyltransferase	1192034	Chondromyces apiculatus DSM 436	249	IPR029499	8..206
A0A021VME3	unreviewed	Corrinoid adenosyltransferase	948458	Actinotalea ferrariae CF5-4	182	IPR029499	2..176
A0A021X5J5	unreviewed	Corrinoid adenosyltransferase	1410620	Shinella sp. DD12	192	IPR029499	3..186
A0A022GMA4	unreviewed	Cobalamin adenosyltransferase	574750	Cupriavidus sp. SK-4	188	IPR029499	4..179
A0A022J2G2	unreviewed	Corrinoid adenosyltransferase	1310723	Acinetobacter sp. 1564232	192	IPR029499	4..187
A0A022LTP2	unreviewed	Corrinoid adenosyltransferase	1292020	Dietzia sp. UCD-THP	191	IPR029499	4..180
A0A022MPK0	unreviewed	Corrinoid adenosyltransferase	1470557	Streptomyces sp. Tu 6176	190	IPR029499	4..180
A0A023BPZ5	unreviewed	Corrinoid adenosyltransferase	1317122	Aquimarina atlantica	191	IPR029499	2..185
A0A023BU64	unreviewed	Corrinoid adenosyltransferase	1317122	Aquimarina atlantica	194	IPR029499	2..183
A0A023CKM8	unreviewed	Corrinoid adenosyltransferase	1295642	Parageobacillus genomosp. 1	192	IPR029499	2..180
A0A023D359	unreviewed	Corrinoid adenosyltransferase	1231351	Acidomonas methanolica NBRC 104435	186	IPR029499	3..176
A0A023DJ47	unreviewed	Corrinoid adenosyltransferase	1220594	Parageobacillus caldoxylosilyticus NBRC 107762	191	IPR029499	2..180
A0A023G480	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	251400	Amblyomma triste	210	IPR029499	19..210
A0A023T6M5	unreviewed	Corrinoid adenosyltransferase	72407	Klebsiella pneumoniae subsp. pneumoniae	176	IPR029499	3..171
A0A023WNY2	unreviewed	Corrinoid adenosyltransferase	316	Stutzerimonas stutzeri	196	IPR029499	4..186
A0A023X687	unreviewed	Corrinoid adenosyltransferase	42256	Rubrobacter radiotolerans	174	IPR029499	3..169
A0A024EG66	unreviewed	Corrinoid adenosyltransferase	1147786	Pseudomonas mandelii JR-1	193	IPR029499	4..187
A0A024FC20	unreviewed	Corrinoid adenosyltransferase	754409	Winogradskyella sp. PG-2	191	IPR029499	2..185
A0A024HMS5	unreviewed	Corrinoid adenosyltransferase	1301098	Pseudomonas knackmussii (strain DSM 6978 / CCUG 54928 / LMG 23759 / B13)	190	IPR029499	4..185
A0A024K2V7	unreviewed	Corrinoid adenosyltransferase	47839	Mycobacterium triplex	190	IPR029499	4..180
A0A024P5Z9	unreviewed	Corrinoid adenosyltransferase	195088	Halobacillus karajensis	185	IPR029499	2..180
A0A024QHX9	unreviewed	Corrinoid adenosyltransferase	1462526	Virgibacillus massiliensis	183	IPR029499	2..172
A0A024UTF9	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	157072	Aphanomyces invadans	199	IPR029499	2..194
A0A026VUD7	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	2015173	Ooceraea biroi	225	IPR029499	29..215
A0A031G6F8	unreviewed	Corrinoid adenosyltransferase	1470589	Pseudomonas sp. RIT288	194	IPR029499	4..186
A0A031HSV2	unreviewed	Corrinoid adenosyltransferase	1470591	Sphingomonas sp. RIT328	182	IPR029499	3..176
A0A031IL52	unreviewed	Corrinoid adenosyltransferase	1470592	Exiguobacterium sp. RIT341	182	IPR029499	2..171
A0A031IPS8	unreviewed	Corrinoid adenosyltransferase	1470593	Pseudomonas sp. RIT357	192	IPR029499	4..187
A0A031JYZ2	unreviewed	Corrinoid adenosyltransferase	158500	Novosphingobium resinovorum	189	IPR029499	3..183
A0A031LPH1	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1160895	Candidatus Acidianus copahuensis	172	IPR029499	2..171
A0A031LRM1	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1160895	Candidatus Acidianus copahuensis	174	IPR029499	2..171
A0A031LVR7	unreviewed	Corrinoid adenosyltransferase	466088	Acinetobacter sp. Ver3	194	IPR029499	4..187
A0A031MEN5	unreviewed	Corrinoid adenosyltransferase	653930	Halopseudomonas bauzanensis	180	IPR029499	30..164
A0A037ZBV3	unreviewed	Corrinoid adenosyltransferase	1454373	Actibacterium mucosum KCTC 23349	190	IPR029499	5..184
A0A045JVI3	unreviewed	Corrinoid adenosyltransferase	1773	Mycobacterium tuberculosis	193	IPR029499	4..179
A0A051TXY4	unreviewed	Corrinoid adenosyltransferase	1324261	Mycobacterium [tuberculosis] TKK-01-0051	193	IPR029499	4..179
A0A058Z703	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	691883	Fonticula alba	494	IPR029499	27..222
A0A058Z9J2	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	691883	Fonticula alba	179	IPR029499	3..156
A0A058ZGJ2	unreviewed	Corrinoid adenosyltransferase	1461693	Actibacterium atlanticum	190	IPR029499	5..184
A0A059DPB9	unreviewed	Corrinoid adenosyltransferase	1280944	Hyphomonas sp. CY54-11-8	190	IPR029499	3..178
A0A059E6I2	unreviewed	Corrinoid adenosyltransferase	1207058	Hyphomonas sp. L-53-1-40	190	IPR029499	3..184
A0A059EBI8	unreviewed	Corrinoid adenosyltransferase	1280948	Hyphomonas atlantica	190	IPR029499	3..184
A0A059F641	unreviewed	Corrinoid adenosyltransferase	1280952	Hyphomonas jannaschiana VP2	190	IPR029499	3..178
A0A059FNZ2	unreviewed	Corrinoid adenosyltransferase	1280950	Hyphomonas johnsonii MHS-2	190	IPR029499	3..180
A0A059FVS0	unreviewed	Corrinoid adenosyltransferase	1280951	Hyphomonas hirschiana VP5	190	IPR029499	3..184
A0A059GAI4	unreviewed	Corrinoid adenosyltransferase	1280953	Hyphomonas oceanitis SCH89	190	IPR029499	3..179
A0A059KJU1	unreviewed	Cobalamin adenosyltransferase	1286631	Sphaerotilus natans subsp. natans DSM 6575	196	IPR029499	4..170
A0A059L2W0	unreviewed	Corrinoid adenosyltransferase	1419583	Pseudomonas mandelii PD30	193	IPR029499	4..187
A0A059LEE9	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1291522	Helicosporidium sp. ATCC 50920	70	IPR029499	2..64
A0A059N481	unreviewed	Corrinoid adenosyltransferase	1338519	Enterococcus faecalis 918	193	IPR029499	2..181
A0A059QAY5	unreviewed	Corrinoid adenosyltransferase	1403001	uncultured bacterium Lac36W	184	IPR029499	4..179
A0A059ZRB0	unreviewed	Corrinoid adenosyltransferase	470	Acinetobacter baumannii	192	IPR029499	4..187
A0A060DSS2	unreviewed	Corrinoid adenosyltransferase	2970906	Azospirillum argentinense	189	IPR029499	3..183
A0A060HJE0	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	926571	Nitrososphaera viennensis EN76	214	IPR029499	21..211
A0A060IAT6	unreviewed	Corrinoid adenosyltransferase	1432050	Rhizobium etli bv. mimosae str. IE4771	192	IPR029499	3..186
A0A060JFC7	unreviewed	Corrinoid adenosyltransferase	529884	Rhodoluna lacicola	201	IPR029499	3..191
A0A060LW96	unreviewed	Corrinoid adenosyltransferase	1246626	Shouchella lehensis G1	179	IPR029499	70..167
A0A060LY04	unreviewed	Corrinoid adenosyltransferase	1246626	Shouchella lehensis G1	183	IPR029499	2..176
A0A060NKZ7	unreviewed	Cobalamin adenosyltransferase	1458425	Serpentinimonas raichei	194	IPR029499	4..179
A0A060NPD7	unreviewed	Cobalamin adenosyltransferase	1458426	Serpentinimonas maccroryi	192	IPR029499	4..179
A0A060QDL9	unreviewed	Corrinoid adenosyltransferase	91915	Asaia bogorensis	179	IPR029499	4..175
A0A060R991	unreviewed	Corrinoid adenosyltransferase	1433126	Mucinivorans hirudinis	177	IPR029499	2..177
A0A060VJZ7	unreviewed	Corrinoid adenosyltransferase	573	Klebsiella pneumoniae	176	IPR029499	3..171
A0A060WLU7	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	8022	Oncorhynchus mykiss	234	IPR029499	24..233
A0A060ZSW6	unreviewed	Corrinoid adenosyltransferase	576784	Streptomyces iranensis	190	IPR029499	4..182
A0A061D157	unreviewed	Corrinoid adenosyltransferase	301	Ectopseudomonas oleovorans	191	IPR029499	4..187
A0A061JTC5	unreviewed	Corrinoid adenosyltransferase	1218352	Stutzerimonas stutzeri KOS6	196	IPR029499	4..186
A0A061N7W2	unreviewed	Corrinoid adenosyltransferase	1460649	Geomicrobium sp. JCM 19055	175	IPR029499	2..165
A0A061NI98	unreviewed	Corrinoid adenosyltransferase	1460634	Geomicrobium sp. JCM 19037	187	IPR029499	2..180
A0A061NVI7	unreviewed	Corrinoid adenosyltransferase	1460635	Geomicrobium sp. JCM 19038	175	IPR029499	2..165
A0A061P9E6	unreviewed	Corrinoid adenosyltransferase	1460636	Geomicrobium sp. JCM 19039	183	IPR029499	2..176
A0A061QCW8	unreviewed	Corrinoid adenosyltransferase	1492281	alpha proteobacterium Q-1	191	IPR029499	3..183
A0A061RUF7	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	582737	Tetraselmis sp. GSL018	189	IPR029499	4..188
A0A061SWY4	unreviewed	Corrinoid adenosyltransferase	83219	Sulfitobacter mediterraneus	190	IPR029499	5..184
A0A062BV50	unreviewed	Corrinoid adenosyltransferase	1310678	Acinetobacter sp. 263903-1	192	IPR029499	4..187
A0A062GL02	unreviewed	Corrinoid adenosyltransferase	1310685	Acinetobacter sp. 72431	192	IPR029499	4..187
A0A062IVR7	unreviewed	Corrinoid adenosyltransferase	1310697	Acinetobacter baumannii 21072	192	IPR029499	4..187
A0A062TW87	unreviewed	Corrinoid adenosyltransferase	1280941	Hyphomonas pacifica	190	IPR029499	3..184
A0A062U830	unreviewed	Corrinoid adenosyltransferase	1280947	Hyphomonas chukchiensis	190	IPR029499	3..179
A0A062UCE8	unreviewed	Corrinoid adenosyltransferase	1280946	Hyphomonas beringensis	190	IPR029499	3..184
A0A062UV11	unreviewed	Cobalamin adenosyltransferase-like domain-containing protein	1392998	Candidatus Methanoperedens nitroreducens	179	IPR029499	2..175
A0A062VGT1	unreviewed	Corrinoid adenosyltransferase	1280954	Hyphomonas polymorpha PS728	190	IPR029499	3..184
A0A062WUS5	unreviewed	Corrinoid adenosyltransferase	683305	Frankia sp. BMG5.23	190	IPR029499	4..180
A0A063B9M4	unreviewed	Cobalamin adenosyltransferase	1192124	Burkholderia sp. lig30	183	IPR029499	4..179
A0A063Y8T2	unreviewed	Corrinoid adenosyltransferase	267850	Nitrincola lacisaponensis	190	IPR029499	4..183
